district_id,police_station_id,crime_category_id,crime_registered_date,day_of_week,week_of_year,crime_month,crime_quarter,crime_year,lag_1,lag_7,lag_30,rolling_avg_7,rolling_avg_30,crime_count
46044000000054016,46044000000052468,46044000000058017,2025-04-22,2,17,4,2,2025,,,,10,10,10
46044000000058011,46044000000054501,46044000000055012,2023-02-27,1,9,2,1,2023,,,,10,10,10
46044000000053031,46044000000053555,46044000000058017,2023-02-19,0,7,2,1,2023,,,,9,9,9
46044000000058014,46044000000052571,46044000000055011,2025-03-03,1,10,3,1,2025,,,,9,9,9
46044000000052016,46044000000052464,46044000000053039,2024-03-04,1,10,3,1,2024,,,,8,8,8
46044000000054017,46044000000053494,46044000000055012,2025-06-14,6,24,6,2,2025,,,,9,9,9
46044000000058011,46044000000054487,46044000000058018,2023-09-01,5,35,9,3,2023,,,,10,10,10
46044000000055006,46044000000052518,46044000000054027,2025-05-28,3,22,5,2,2025,,,,8,8,8
46044000000053032,46044000000053594,46044000000053039,2022-07-12,2,28,7,3,2022,,,,10,10,10
46044000000053034,46044000000052523,46044000000053038,2023-08-28,1,35,8,3,2023,,,,10,10,10
46044000000055006,46044000000053513,46044000000058017,2022-06-26,0,25,6,2,2022,,,,9,9,9
46044000000056014,46044000000053534,46044000000053038,2023-03-14,2,11,3,1,2023,,,,8,8,8
46044000000058015,46044000000053571,46044000000055012,2025-07-05,6,27,7,3,2025,,,,10,10,10
46044000000055007,46044000000053548,46044000000053040,2024-10-13,0,41,10,4,2024,,,,8,8,8
46044000000056017,46044000000052486,46044000000053038,2022-05-04,3,18,5,2,2022,,,,7,7,7
46044000000056016,46044000000052540,46044000000056022,2024-10-09,3,41,10,4,2024,,,,10,10,10
46044000000056015,46044000000053527,46044000000052021,2024-07-19,5,29,7,3,2024,,,,9,9,9
46044000000055006,46044000000052497,46044000000057008,2025-02-25,2,9,2,1,2025,,,,8,8,8
46044000000058015,46044000000054514,46044000000052021,2022-08-26,5,34,8,3,2022,,,,8,8,8
46044000000053034,46044000000052495,46044000000056021,2022-03-07,1,10,3,1,2022,,,,10,10,10
46044000000057006,46044000000053535,46044000000054027,2025-09-20,6,38,9,3,2025,,,,10,10,10
46044000000056017,46044000000053576,46044000000056022,2022-08-13,6,32,8,3,2022,,,,10,10,10
46044000000053033,46044000000052486,46044000000056021,2023-03-24,5,12,3,1,2023,,,,9,9,9
46044000000053033,46044000000053531,46044000000058018,2022-01-16,0,2,1,1,2022,,,,9,9,9
46044000000055009,46044000000053610,46044000000053038,2022-08-12,5,32,8,3,2022,,,,8,8,8
46044000000056015,46044000000053617,46044000000058017,2022-05-18,3,20,5,2,2022,,,,10,10,10
46044000000056013,46044000000054515,46044000000055011,2023-06-23,5,25,6,2,2023,,,,9,9,9
46044000000054015,46044000000053496,46044000000056022,2024-04-12,5,15,4,2,2024,,,,9,9,9
46044000000052014,46044000000052465,46044000000054027,2022-02-01,2,5,2,1,2022,,,,10,10,10
46044000000056013,46044000000053555,46044000000053038,2024-04-04,4,14,4,2,2024,,,,8,8,8
46044000000058015,46044000000052522,46044000000053038,2025-05-15,4,20,5,2,2025,,,,10,10,10
46044000000056017,46044000000053530,46044000000055011,2022-02-27,0,8,2,1,2022,,,,9,9,9
46044000000056014,46044000000052578,46044000000056022,2025-02-20,4,8,2,1,2025,,,,9,9,9
46044000000056015,46044000000053529,46044000000055012,2024-02-15,4,7,2,1,2024,,,,10,10,10
46044000000052014,46044000000054506,46044000000057008,2025-11-14,5,46,11,4,2025,,,,9,9,9
46044000000057005,46044000000053579,46044000000053039,2022-01-27,4,4,1,1,2022,,,,10,10,10
46044000000058015,46044000000053535,46044000000055012,2024-07-03,3,27,7,3,2024,,,,10,10,10
46044000000054016,46044000000053556,46044000000055011,2025-05-01,4,18,5,2,2025,,,,10,10,10
46044000000054015,46044000000053591,46044000000055011,2025-02-27,4,9,2,1,2025,,,,10,10,10
46044000000054015,46044000000053618,46044000000058018,2024-04-13,6,15,4,2,2024,,,,9,9,9
46044000000057004,46044000000054501,46044000000053040,2022-06-22,3,25,6,2,2022,,,,10,10,10
46044000000053033,46044000000052481,46044000000053040,2025-01-08,3,2,1,1,2025,,,,9,9,9
46044000000053032,46044000000052533,46044000000058017,2025-02-08,6,6,2,1,2025,,,,8,8,8
46044000000053034,46044000000052465,46044000000057008,2023-09-07,4,36,9,3,2023,,,,10,10,10
46044000000058013,46044000000054503,46044000000055012,2023-04-01,6,13,4,2,2023,,,,8,8,8
46044000000056018,46044000000052496,46044000000055012,2023-03-04,6,9,3,1,2023,,,,9,9,9
46044000000054017,46044000000052483,46044000000057008,2022-10-18,2,42,10,4,2022,,,,9,9,9
46044000000057004,46044000000052497,46044000000057008,2025-07-07,1,28,7,3,2025,,,,7,7,7
46044000000057003,46044000000053539,46044000000055012,2022-03-01,2,9,3,1,2022,,,,10,10,10
46044000000057003,46044000000053539,46044000000055012,2024-06-25,2,26,6,2,2024,10,,,516,516,32
46044000000054016,46044000000052563,46044000000053040,2024-05-18,6,20,5,2,2024,,,,10,10,10
46044000000053033,46044000000052480,46044000000057008,2023-03-03,5,9,3,1,2023,,,,10,10,10
46044000000057006,46044000000052567,46044000000055012,2025-11-03,1,45,11,4,2025,,,,10,10,10
46044000000054017,46044000000053531,46044000000053039,2024-05-18,6,20,5,2,2024,,,,9,9,9
46044000000053032,46044000000052533,46044000000055011,2025-02-08,6,6,2,1,2025,,,,10,10,10
46044000000054016,46044000000052539,46044000000056022,2025-12-17,3,51,12,4,2025,,,,10,10,10
46044000000057004,46044000000052526,46044000000057008,2025-06-27,5,26,6,2,2025,,,,7,7,7
46044000000054018,46044000000053569,46044000000057008,2023-11-25,6,47,11,4,2023,,,,7,7,7
46044000000056017,46044000000052534,46044000000057008,2024-02-16,5,7,2,1,2024,,,,9,9,9
46044000000056018,46044000000053494,46044000000053038,2024-11-18,1,47,11,4,2024,,,,6,6,6
46044000000056018,46044000000053599,46044000000054027,2022-04-23,6,16,4,2,2022,,,,8,8,8
46044000000058013,46044000000053616,46044000000054027,2022-06-19,0,24,6,2,2022,,,,9,9,9
46044000000053033,46044000000052567,46044000000052021,2025-10-28,2,44,10,4,2025,,,,9,9,9
46044000000055008,46044000000053513,46044000000058017,2023-10-28,6,43,10,4,2023,,,,10,10,10
46044000000058014,46044000000053495,46044000000057008,2023-09-18,1,38,9,3,2023,,,,10,10,10
46044000000054015,46044000000052450,46044000000058017,2022-10-20,4,42,10,4,2022,,,,10,10,10
46044000000053033,46044000000052498,46044000000057008,2023-02-25,6,8,2,1,2023,,,,7,7,7
46044000000053032,46044000000052559,46044000000052021,2024-10-11,5,41,10,4,2024,,,,8,8,8
46044000000055007,46044000000054508,46044000000052021,2025-10-07,2,41,10,4,2025,,,,29,29,29
46044000000053034,46044000000053494,46044000000056021,2024-01-09,2,2,1,1,2024,,,,34,34,34
46044000000052018,46044000000053598,46044000000057008,2024-11-12,2,46,11,4,2024,,,,10,10,10
46044000000054018,46044000000052533,46044000000057008,2024-06-09,0,23,6,2,2024,,,,7,7,7
46044000000052014,46044000000052505,46044000000058017,2022-06-05,0,22,6,2,2022,,,,10,10,10
46044000000053031,46044000000053497,46044000000055012,2022-11-22,2,47,11,4,2022,,,,9,9,9
46044000000055008,46044000000053606,46044000000052021,2024-11-23,6,47,11,4,2024,,,,10,10,10
46044000000056018,46044000000052554,46044000000058017,2022-05-06,5,18,5,2,2022,,,,7,7,7
46044000000057004,46044000000052456,46044000000058018,2023-09-07,4,36,9,3,2023,,,,10,10,10
46044000000054017,46044000000054501,46044000000058018,2024-05-09,4,19,5,2,2024,,,,10,10,10
46044000000052017,46044000000052551,46044000000057008,2022-12-09,5,49,12,4,2022,,,,10,10,10
46044000000055009,46044000000052520,46044000000055011,2023-07-20,4,29,7,3,2023,,,,9,9,9
46044000000058012,46044000000052491,46044000000053038,2025-02-22,6,8,2,1,2025,,,,6,6,6
46044000000057004,46044000000053508,46044000000058018,2022-07-11,1,28,7,3,2022,,,,10,10,10
46044000000056017,46044000000053576,46044000000053040,2022-08-13,6,32,8,3,2022,,,,9,9,9
46044000000053032,46044000000052454,46044000000055012,2023-05-11,4,19,5,2,2023,,,,9,9,9
46044000000054016,46044000000053526,46044000000057008,2024-09-03,2,36,9,3,2024,,,,10,10,10
46044000000056013,46044000000053558,46044000000053040,2023-03-15,3,11,3,1,2023,,,,10,10,10
46044000000058013,46044000000053538,46044000000054027,2025-05-19,1,21,5,2,2025,,,,10,10,10
46044000000052014,46044000000053558,46044000000058018,2025-08-05,2,32,8,3,2025,,,,9,9,9
46044000000056018,46044000000052452,46044000000056022,2023-05-07,0,18,5,2,2023,,,,10,10,10
46044000000054015,46044000000053609,46044000000055011,2024-04-09,2,15,4,2,2024,,,,10,10,10
46044000000054015,46044000000052508,46044000000055011,2024-07-16,2,29,7,3,2024,,,,7,7,7
46044000000058014,46044000000053618,46044000000053040,2025-12-22,1,52,12,4,2025,,,,9,9,9
46044000000056015,46044000000053559,46044000000058018,2025-01-03,5,1,1,1,2025,,,,10,10,10
46044000000057004,46044000000053502,46044000000053038,2022-06-15,3,24,6,2,2022,,,,8,8,8
46044000000058014,46044000000054505,46044000000056022,2022-01-06,4,1,1,1,2022,,,,9,9,9
46044000000058013,46044000000053499,46044000000053038,2022-08-22,1,34,8,3,2022,,,,10,10,10
46044000000058015,46044000000052535,46044000000056021,2024-04-04,4,14,4,2,2024,,,,10,10,10
46044000000056013,46044000000052545,46044000000053038,2025-05-04,0,18,5,2,2025,,,,10,10,10
46044000000054016,46044000000053603,46044000000058018,2024-12-21,6,51,12,4,2024,,,,6,6,6
46044000000056014,46044000000052482,46044000000054027,2024-06-08,6,23,6,2,2024,,,,17,17,17
46044000000052014,46044000000054515,46044000000058017,2022-01-12,3,2,1,1,2022,,,,35,35,35
46044000000052014,46044000000053604,46044000000054027,2025-03-04,2,10,3,1,2025,,,,23,23,23
46044000000056014,46044000000053555,46044000000057008,2022-07-07,4,27,7,3,2022,,,,44,44,44
46044000000055009,46044000000054493,46044000000053040,2025-03-19,3,12,3,1,2025,,,,24,24,24
46044000000055007,46044000000053505,46044000000053039,2022-10-26,3,43,10,4,2022,,,,46,46,46
46044000000054018,46044000000052490,46044000000052021,2025-11-24,1,48,11,4,2025,,,,42,42,42
46044000000056015,46044000000052485,46044000000057008,2023-10-20,5,42,10,4,2023,,,,41,41,41
46044000000054018,46044000000053572,46044000000058017,2024-07-23,2,30,7,3,2024,,,,18,18,18
46044000000055006,46044000000052518,46044000000055011,2025-05-28,3,22,5,2,2025,,,,30,30,30
46044000000058013,46044000000052445,46044000000053038,2024-12-24,2,52,12,4,2024,,,,40,40,40
46044000000056015,46044000000052489,46044000000053039,2025-02-18,2,8,2,1,2025,,,,35,35,35
46044000000054015,46044000000052508,46044000000055012,2024-03-22,5,12,3,1,2024,,,,19,19,19
46044000000056016,46044000000052504,46044000000058017,2022-05-15,0,19,5,2,2022,,,,23,23,23
46044000000053031,46044000000053598,46044000000053040,2023-08-28,1,35,8,3,2023,,,,33,33,33
46044000000052016,46044000000053592,46044000000058018,2025-08-19,2,34,8,3,2025,,,,14,14,14
46044000000053034,46044000000052468,46044000000053038,2025-04-15,2,16,4,2,2025,,,,22,22,22
46044000000055007,46044000000052492,46044000000055011,2022-06-20,1,25,6,2,2022,,,,14,14,14
46044000000058011,46044000000052555,46044000000056022,2022-03-27,0,12,3,1,2022,,,,12,12,12
46044000000058012,46044000000052563,46044000000057008,2022-03-27,0,12,3,1,2022,,,,39,39,39
46044000000058011,46044000000052509,46044000000052021,2025-04-14,1,16,4,2,2025,,,,20,20,20
46044000000055009,46044000000052458,46044000000058017,2023-12-15,5,50,12,4,2023,,,,17,17,17
46044000000055008,46044000000052519,46044000000058017,2022-01-26,3,4,1,1,2022,,,,43,43,43
46044000000058015,46044000000052494,46044000000053039,2024-04-19,5,16,4,2,2024,,,,24,24,24
46044000000052016,46044000000052468,46044000000053039,2025-06-25,3,26,6,2,2025,,,,20,20,20
46044000000055006,46044000000052471,46044000000058018,2023-06-05,1,23,6,2,2023,,,,38,38,38
46044000000052016,46044000000052462,46044000000056022,2022-07-03,0,26,7,3,2022,,,,39,39,39
46044000000052017,46044000000053514,46044000000052021,2025-11-20,4,47,11,4,2025,,,,37,37,37
46044000000058011,46044000000053535,46044000000056021,2022-03-04,5,9,3,1,2022,,,,28,28,28
46044000000052014,46044000000053616,46044000000056021,2025-01-22,3,4,1,1,2025,,,,30,30,30
46044000000056013,46044000000052447,46044000000055011,2025-08-22,5,34,8,3,2025,,,,21,21,21
46044000000058012,46044000000052564,46044000000054027,2023-08-15,2,33,8,3,2023,,,,15,15,15
46044000000054018,46044000000053547,46044000000058017,2024-01-20,6,3,1,1,2024,,,,37,37,37
46044000000053032,46044000000053516,46044000000053038,2024-04-23,2,17,4,2,2024,,,,30,30,30
46044000000056013,46044000000052578,46044000000058018,2022-08-18,4,33,8,3,2022,,,,18,18,18
46044000000053033,46044000000052503,46044000000058018,2024-02-18,0,7,2,1,2024,,,,21,21,21
46044000000053033,46044000000054520,46044000000053040,2025-11-19,3,47,11,4,2025,,,,31,31,31
46044000000054016,46044000000052491,46044000000052021,2024-04-16,2,16,4,2,2024,,,,24,24,24
46044000000052017,46044000000053579,46044000000055012,2023-06-08,4,23,6,2,2023,,,,27,27,27
46044000000058014,46044000000053561,46044000000054027,2022-04-22,5,16,4,2,2022,,,,45,45,45
46044000000058012,46044000000053515,46044000000053039,2025-12-08,1,50,12,4,2025,,,,16,16,16
46044000000052018,46044000000054509,46044000000058018,2022-05-12,4,19,5,2,2022,,,,38,38,38
46044000000057005,46044000000054498,46044000000056022,2025-07-08,2,28,7,3,2025,,,,45,45,45
46044000000058012,46044000000052498,46044000000052021,2022-05-17,2,20,5,2,2022,,,,39,39,39
46044000000052017,46044000000052493,46044000000054027,2025-04-07,1,15,4,2,2025,,,,29,29,29
46044000000055008,46044000000052551,46044000000057008,2024-02-07,3,6,2,1,2024,,,,27,27,27
46044000000057004,46044000000053538,46044000000056022,2024-02-24,6,8,2,1,2024,,,,39,39,39
46044000000056016,46044000000052515,46044000000056022,2023-08-25,5,34,8,3,2023,,,,29,29,29
46044000000054018,46044000000052472,46044000000052021,2023-08-01,2,31,8,3,2023,,,,35,35,35
46044000000054016,46044000000052491,46044000000056021,2024-04-16,2,16,4,2,2024,,,,13,13,13
46044000000053034,46044000000053580,46044000000055012,2023-02-25,6,8,2,1,2023,,,,25,25,25
46044000000057005,46044000000053530,46044000000058018,2022-06-18,6,24,6,2,2022,,,,31,31,31
46044000000053031,46044000000053582,46044000000056021,2024-07-23,2,30,7,3,2024,,,,5,5,5
46044000000053031,46044000000053582,46044000000056021,2025-04-25,5,17,4,2,2025,5,,,257.5,257.5,15
46044000000057004,46044000000052448,46044000000055012,2022-11-07,1,45,11,4,2022,,,,38,38,38
46044000000055009,46044000000054513,46044000000058018,2022-02-22,2,8,2,1,2022,,,,50,50,50
46044000000056016,46044000000053515,46044000000058018,2022-08-16,2,33,8,3,2022,,,,26,26,26
46044000000056013,46044000000053569,46044000000053039,2022-10-11,2,41,10,4,2022,,,,28,28,28
46044000000057004,46044000000053553,46044000000055012,2025-02-11,2,7,2,1,2025,,,,23,23,23
46044000000057004,46044000000052552,46044000000058018,2025-03-27,4,13,3,1,2025,,,,16,16,16
46044000000052018,46044000000052542,46044000000058018,2024-01-04,4,1,1,1,2024,,,,45,45,45
46044000000054016,46044000000052568,46044000000056022,2022-03-23,3,12,3,1,2022,,,,23,23,23
46044000000054018,46044000000052491,46044000000053040,2025-04-15,2,16,4,2,2025,,,,19,19,19
46044000000055009,46044000000054516,46044000000055011,2022-12-17,6,50,12,4,2022,,,,22,22,22
46044000000056017,46044000000052484,46044000000058018,2023-08-26,6,34,8,3,2023,,,,28,28,28
46044000000053034,46044000000052507,46044000000057008,2024-08-17,6,33,8,3,2024,,,,39,39,39
46044000000053034,46044000000053581,46044000000057008,2022-01-27,4,4,1,1,2022,,,,35,35,35
46044000000055008,46044000000052570,46044000000056022,2024-06-03,1,23,6,2,2024,,,,21,21,21
46044000000057006,46044000000052516,46044000000056021,2024-12-18,3,51,12,4,2024,,,,31,31,31
46044000000052014,46044000000053616,46044000000055012,2025-01-22,3,4,1,1,2025,,,,16,16,16
46044000000058015,46044000000052513,46044000000052021,2023-06-19,1,25,6,2,2023,,,,15,15,15
46044000000052018,46044000000052493,46044000000058017,2025-01-11,6,2,1,1,2025,,,,38,38,38
46044000000057006,46044000000054499,46044000000053040,2024-04-23,2,17,4,2,2024,,,,5,5,5
46044000000058011,46044000000054519,46044000000056021,2025-09-28,0,39,9,3,2025,,,,4,4,4
46044000000057006,46044000000052545,46044000000057008,2022-04-03,0,13,4,2,2022,,,,3,3,3
46044000000057003,46044000000054517,46044000000054027,2025-02-16,0,7,2,1,2025,,,,4,4,4
46044000000056017,46044000000053569,46044000000055011,2023-08-19,6,33,8,3,2023,,,,3,3,3
46044000000057003,46044000000054517,46044000000053040,2025-02-16,0,7,2,1,2025,,,,3,3,3
46044000000054017,46044000000053613,46044000000055011,2022-05-20,5,20,5,2,2022,,,,5,5,5
46044000000056017,46044000000052534,46044000000055011,2024-02-16,5,7,2,1,2024,,,,5,5,5
46044000000053034,46044000000052444,46044000000056021,2025-09-16,2,38,9,3,2025,,,,5,5,5
46044000000057003,46044000000054508,46044000000057008,2024-05-06,1,19,5,2,2024,,,,5,5,5
46044000000056014,46044000000054503,46044000000058018,2025-05-02,5,18,5,2,2025,,,,5,5,5
46044000000056018,46044000000053505,46044000000058017,2025-11-04,2,45,11,4,2025,,,,4,4,4
46044000000056013,46044000000053516,46044000000057008,2023-02-25,6,8,2,1,2023,,,,18,18,18
46044000000056013,46044000000053516,46044000000057008,2025-08-06,3,32,8,3,2025,18,,,92.5,92.5,5
46044000000052014,46044000000053573,46044000000053038,2023-12-24,0,51,12,4,2023,,,,4,4,4
46044000000052018,46044000000052470,46044000000056021,2023-02-28,2,9,2,1,2023,,,,4,4,4
46044000000057004,46044000000052555,46044000000052021,2023-08-05,6,31,8,3,2023,,,,4,4,4
46044000000056017,46044000000053584,46044000000054027,2023-03-01,3,9,3,1,2023,,,,3,3,3
46044000000052018,46044000000052542,46044000000053039,2024-01-13,6,2,1,1,2024,,,,5,5,5
46044000000053033,46044000000052514,46044000000055012,2025-07-24,4,30,7,3,2025,,,,5,5,5
46044000000056016,46044000000053597,46044000000052021,2025-10-19,0,42,10,4,2025,,,,5,5,5
46044000000054016,46044000000052449,46044000000056021,2024-05-26,0,21,5,2,2024,,,,5,5,5
46044000000058013,46044000000052457,46044000000056022,2022-05-10,2,19,5,2,2022,,,,5,5,5
46044000000054018,46044000000053514,46044000000052021,2024-01-28,0,4,1,1,2024,,,,5,5,5
46044000000054018,46044000000053514,46044000000052021,2025-04-05,6,14,4,2,2025,5,,,28,28,6
46044000000057006,46044000000054490,46044000000053038,2023-03-21,2,12,3,1,2023,,,,5,5,5
46044000000057006,46044000000052450,46044000000056021,2023-08-02,3,31,8,3,2023,,,,5,5,5
46044000000054016,46044000000053555,46044000000058018,2025-06-22,0,25,6,2,2025,,,,5,5,5
46044000000056013,46044000000052513,46044000000053039,2022-12-12,1,50,12,4,2022,,,,5,5,5
46044000000055009,46044000000052550,46044000000056021,2023-03-05,0,9,3,1,2023,,,,5,5,5
46044000000056017,46044000000052462,46044000000058017,2024-10-16,3,42,10,4,2024,,,,4,4,4
46044000000056014,46044000000053608,46044000000052021,2023-05-09,2,19,5,2,2023,,,,5,5,5
46044000000052016,46044000000052508,46044000000058018,2024-07-07,0,27,7,3,2024,,,,5,5,5
46044000000057006,46044000000053599,46044000000057008,2024-06-23,0,25,6,2,2024,,,,5,5,5
46044000000052017,46044000000052484,46044000000056021,2023-12-03,0,48,12,4,2023,,,,3,3,3
46044000000058013,46044000000052528,46044000000053040,2024-08-10,6,32,8,3,2024,,,,5,5,5
46044000000052014,46044000000052527,46044000000055011,2024-03-13,3,11,3,1,2024,,,,5,5,5
46044000000054016,46044000000052474,46044000000056022,2025-12-26,5,52,12,4,2025,,,,4,4,4
46044000000052016,46044000000053552,46044000000058018,2024-07-06,6,27,7,3,2024,,,,5,5,5
46044000000058011,46044000000054501,46044000000055011,2023-02-27,1,9,2,1,2023,,,,4,4,4
46044000000056016,46044000000052474,46044000000053038,2022-11-15,2,46,11,4,2022,,,,5,5,5
46044000000052018,46044000000052513,46044000000054027,2025-12-07,0,49,12,4,2025,,,,5,5,5
46044000000055009,46044000000054513,46044000000053038,2022-02-22,2,8,2,1,2022,,,,5,5,5
46044000000052016,46044000000052531,46044000000057008,2022-02-25,5,8,2,1,2022,,,,3,3,3
46044000000058015,46044000000052464,46044000000055012,2022-09-04,0,35,9,3,2022,,,,5,5,5
46044000000052018,46044000000052526,46044000000055012,2024-07-09,2,28,7,3,2024,,,,5,5,5
46044000000058013,46044000000052567,46044000000055012,2023-12-02,6,48,12,4,2023,,,,5,5,5
46044000000056013,46044000000053581,46044000000056022,2024-09-15,0,37,9,3,2024,,,,7,7,7
46044000000055008,46044000000053558,46044000000057008,2025-12-11,4,50,12,4,2025,,,,7,7,7
46044000000056017,46044000000052456,46044000000053039,2025-01-24,5,4,1,1,2025,,,,10,10,10
46044000000052014,46044000000054519,46044000000054027,2023-09-17,0,37,9,3,2023,,,,7,7,7
46044000000057006,46044000000052501,46044000000053039,2025-01-04,6,1,1,1,2025,,,,8,8,8
46044000000052014,46044000000052557,46044000000052021,2023-03-04,6,9,3,1,2023,,,,10,10,10
46044000000053034,46044000000052574,46044000000055011,2023-02-16,4,7,2,1,2023,,,,6,6,6
46044000000056017,46044000000053497,46044000000055011,2023-11-24,5,47,11,4,2023,,,,7,7,7
46044000000057004,46044000000052525,46044000000054027,2025-04-18,5,16,4,2,2025,,,,10,10,10
46044000000054015,46044000000053591,46044000000057008,2025-02-27,4,9,2,1,2025,,,,8,8,8
46044000000055008,46044000000052525,46044000000055012,2024-07-22,1,30,7,3,2024,,,,10,10,10
46044000000055006,46044000000052460,46044000000055012,2024-02-20,2,8,2,1,2024,,,,10,10,10
46044000000058011,46044000000053556,46044000000056021,2023-07-22,6,29,7,3,2023,,,,8,8,8
46044000000057004,46044000000053521,46044000000057008,2022-04-11,1,15,4,2,2022,,,,8,8,8
46044000000056015,46044000000053559,46044000000053039,2022-09-09,5,36,9,3,2022,,,,10,10,10
46044000000058013,46044000000053502,46044000000054027,2024-02-23,5,8,2,1,2024,,,,10,10,10
46044000000055008,46044000000053587,46044000000053038,2025-07-21,1,30,7,3,2025,,,,8,8,8
46044000000054017,46044000000052502,46044000000054027,2024-06-14,5,24,6,2,2024,,,,10,10,10
46044000000052016,46044000000052508,46044000000056021,2024-07-07,0,27,7,3,2024,,,,8,8,8
46044000000053031,46044000000054508,46044000000053039,2022-09-10,6,36,9,3,2022,,,,10,10,10
46044000000055006,46044000000053585,46044000000056021,2025-04-25,5,17,4,2,2025,,,,10,10,10
46044000000058011,46044000000053585,46044000000058017,2022-02-02,3,5,2,1,2022,,,,8,8,8
46044000000058013,46044000000053616,46044000000053038,2022-06-19,0,24,6,2,2022,,,,10,10,10
46044000000054015,46044000000053588,46044000000058017,2023-05-18,4,20,5,2,2023,,,,10,10,10
46044000000058012,46044000000053545,46044000000052021,2022-06-10,5,23,6,2,2022,,,,10,10,10
46044000000057004,46044000000052551,46044000000057008,2022-10-12,3,41,10,4,2022,,,,8,8,8
46044000000058015,46044000000052471,46044000000056021,2024-08-22,4,34,8,3,2024,,,,9,9,9
46044000000058013,46044000000052548,46044000000053038,2022-03-16,3,11,3,1,2022,,,,9,9,9
46044000000057005,46044000000052544,46044000000056022,2024-11-11,1,46,11,4,2024,,,,10,10,10
46044000000055006,46044000000053524,46044000000055012,2024-02-27,2,9,2,1,2024,,,,9,9,9
46044000000058012,46044000000053504,46044000000052021,2024-03-08,5,10,3,1,2024,,,,9,9,9
46044000000053032,46044000000053521,46044000000052021,2023-08-22,2,34,8,3,2023,,,,9,9,9
46044000000057006,46044000000053503,46044000000056021,2023-03-04,6,9,3,1,2023,,,,9,9,9
46044000000052016,46044000000053515,46044000000053039,2022-04-19,2,16,4,2,2022,,,,9,9,9
46044000000057004,46044000000053522,46044000000054027,2023-05-03,3,18,5,2,2023,,,,9,9,9
46044000000057004,46044000000052452,46044000000053040,2024-07-17,3,29,7,3,2024,,,,10,10,10
46044000000053034,46044000000053526,46044000000055011,2022-03-04,5,9,3,1,2022,,,,9,9,9
46044000000058014,46044000000052578,46044000000056021,2022-01-04,2,1,1,1,2022,,,,10,10,10
46044000000056014,46044000000054517,46044000000057008,2025-06-06,5,23,6,2,2025,,,,7,7,7
46044000000056015,46044000000052567,46044000000058017,2023-11-21,2,47,11,4,2023,,,,10,10,10
