district_id,police_station_id,crime_category_id,incident_registered_date,count
KA-22,Devara Hipparagi PS,Murder,2022-06-15,44
KA-26,Kapu PS,Assault,2022-07-07,44
KA-29,Chittapura PS,Domestic Violence,2022-04-14,44
KA-14,Mangaluru South PS,Murder,2022-07-18,44
KA-16,T.B. Dam PS,Vehicle Theft,2022-11-12,44
KA-17,Chamarajanagar Rural PS,Kidnapping,2025-06-14,44
KA-27,Devalagangapur PS,Burglary,2025-05-16,44
KA-09,Kuknoor PS,Kidnapping,2022-05-20,44
KA-17,Yamakanmardi PS,Robbery,2025-09-11,44
KA-06,Malavalli Town PS,Theft,2022-11-08,44
KA-30,Gokak Rural PS,Cyber Crime,2024-10-03,43
KA-14,Brahmavar PS,Domestic Violence,2023-06-16,43
KA-12,Yadgir Rural PS,Kidnapping,2023-11-11,43
KA-02,Govindaraja Nagar PS,Assault,2022-06-13,43
KA-02,Chamarajpet PS,Assault,2025-10-15,43
KA-17,Shikaripura Rural PS,Burglary,2022-01-26,43
KA-11,Mallanduru PS,Cyber Crime,2023-08-14,43
KA-02,Sindhanur Town PS,Vehicle Theft,2025-02-25,42
KA-22,Devalagangapur PS,Cyber Crime,2022-04-21,42
KA-08,Napoklu PS,Theft,2022-03-18,42
KA-11,Raibag PS,Murder,2025-11-24,42
KA-29,Kalasipalya PS,Assault,2024-08-17,42
KA-11,Shanthapur PS,Vehicle Theft,2023-05-23,42
KA-05,Siddapura PS,Theft,2023-06-21,42
KA-12,Sirsi Town PS,Murder,2023-08-23,42
KA-09,Santhebennur PS,Cyber Crime,2023-01-15,42
KA-11,Turvihal PS,Rioting,2024-07-04,42
KA-17,Mallanduru PS,Vehicle Theft,2023-09-22,42
KA-04,Arakere PS,Robbery,2023-07-09,42
KA-22,Chandra Layout PS,Fraud,2022-11-10,42
KA-03,Belagavi City Women PS,Robbery,2023-02-28,42
KA-28,Attibele PS,Theft,2022-11-21,42
KA-10,Doddawad PS,Burglary,2024-02-16,42
KA-17,Doddaballapura Rural PS,Murder,2022-12-17,41
KA-01,Halageri PS,Assault,2023-10-20,41
KA-17,Dhannura PS,Drug Offence,2025-12-09,41
KA-01,Devara Hipparagi PS,Robbery,2023-11-06,41
KA-16,Avalahally PS,Rioting,2023-11-06,41
KA-10,Gandasi PS,Theft,2023-03-04,41
KA-04,Siruguppa PS,Robbery,2025-08-17,41
KA-30,Balur PS,Rioting,2023-12-27,41
KA-24,Turuvkere PS,Rioting,2023-09-06,41
KA-13,Viveknagar PS,Domestic Violence,2024-10-16,41
KA-02,Hiriyur Rural PS,Murder,2023-02-04,41
KA-17,Imangala PS,Theft,2022-02-27,41
KA-24,Hassan Women PS,Murder,2022-11-06,41
KA-29,Malavalli Town PS,Fraud,2025-02-23,40
KA-17,Kapu PS,Rioting,2024-08-07,40
KA-15,H.S.R.Layout PS,Burglary,2022-02-07,40
KA-22,Besagaraghalli PS,Robbery,2024-05-05,40
KA-15,Kamasamudram PS,Burglary,2024-12-14,40
KA-08,Hadagali PS,Theft,2024-12-24,40
KA-22,Whitefield PS,Rioting,2022-03-06,40
KA-25,Sadar Bazar PS,Burglary,2023-07-23,40
KA-04,Bidar Town PS,Kidnapping,2022-12-17,40
KA-06,Madanahipparga PS,Burglary,2024-09-03,40
KA-20,Kapu PS,Vehicle Theft,2023-09-11,40
KA-23,Ramnagar PS,Burglary,2024-11-23,40
KA-27,Hariharapura PS,Cyber Crime,2023-10-06,40
KA-22,Kodagu CEN Crime PS,Fraud,2025-08-04,40
KA-21,Hullahalli PS,Fraud,2025-01-26,40
KA-29,Kallambella PS,Assault,2024-05-11,40
KA-13,Kodagu Women PS,Cyber Crime,2025-11-22,40
KA-24,Yamakanmardi PS,Rioting,2025-12-02,40
KA-03,Azad Nagar PS,Kidnapping,2022-09-28,39
KA-24,H.S.R.Layout PS,Assault,2024-08-17,39
KA-28,Saragur PS,Murder,2022-05-17,39
KA-07,Vijayanagar PS,Drug Offence,2024-02-24,39
KA-07,Yamakanmardi PS,Drug Offence,2025-01-07,39
KA-17,Hariharapura PS,Rioting,2025-07-16,39
KA-31,Kuknoor PS,Vehicle Theft,2024-05-23,39
KA-10,Mico Layout PS,Fraud,2025-06-04,39
KA-05,Bagalkot Women PS,Assault,2022-12-19,39
KA-12,Halageri PS,Murder,2023-06-23,39
KA-14,Tekkalkota PS,Rioting,2022-03-25,39
KA-17,Kanakagiri PS,Assault,2025-07-05,39
KA-10,Bajpe PS,Burglary,2024-03-27,39
KA-18,Arakere PS,Murder,2025-03-11,39
KA-28,Mallanduru PS,Assault,2022-03-27,39
KA-09,Kutta PS,Robbery,2023-09-27,39
KA-03,Kembhavi PS,Burglary,2022-11-20,39
KA-19,Nandini Layout PS,Drug Offence,2022-07-03,39
KA-27,Kodagu CEN Crime PS,Drug Offence,2022-12-01,39
KA-19,Kodagu CEN Crime PS,Domestic Violence,2024-08-16,39
KA-12,Jalhalli PS,Cyber Crime,2025-03-05,38
KA-01,Hirisave PS,Murder,2023-01-26,38
KA-12,Managoli PS,Kidnapping,2022-02-03,38
KA-04,Ponnampet PS,Cyber Crime,2024-11-26,38
KA-25,Chandra Layout PS,Vehicle Theft,2022-05-12,38
KA-25,Yamakanmardi PS,Burglary,2025-01-11,38
KA-01,Bajpe PS,Robbery,2022-05-18,38
KA-28,Lakkavalli PS,Robbery,2025-03-05,38
KA-27,Ballari Rural PS,Murder,2024-02-08,38
KA-10,Azad Nagar PS,Domestic Violence,2023-09-15,38
KA-07,Kuknoor PS,Rioting,2022-11-07,38
KA-22,City Market PS,Vehicle Theft,2024-08-14,38
KA-15,Bendigeri PS,Vehicle Theft,2023-06-05,38
KA-12,Bajpe PS,Fraud,2022-09-12,38
KA-30,Yelahanka PS,Murder,2025-11-20,37
KA-11,K.R. Pet Town PS,Burglary,2024-01-20,37
KA-30,Tumkur CEN Crime PS,Cyber Crime,2022-04-02,37
KA-20,Hiriyur Rural PS,Theft,2022-04-03,37
KA-25,Kodihalli PS,Murder,2022-05-21,37
KA-06,Chikkajala PS,Domestic Violence,2023-03-10,37
KA-11,Hospet Town PS,Burglary,2022-10-25,37
KA-19,Vibanagara PS,Murder,2022-08-21,37
KA-04,Belagavi City Women PS,Cyber Crime,2022-07-10,37
KA-31,Jalhalli PS,Cyber Crime,2023-03-09,37
KA-02,Hirehadagali PS,Domestic Violence,2024-12-10,37
KA-19,Byappanahalli PS,Theft,2025-10-06,37
KA-29,Kasabapeth PS,Kidnapping,2022-07-08,37
KA-26,Bengaluru Dist Women PS,Theft,2025-02-20,36
KA-21,Shahabad Town PS,Cyber Crime,2024-06-03,36
KA-17,Saragur PS,Domestic Violence,2024-02-22,36
KA-14,Mangaluru South PS,Kidnapping,2022-07-18,36
KA-25,APMC Navanagar,Burglary,2023-03-08,36
KA-16,Chikkanayakanahalli PS,Burglary,2022-12-13,36
KA-27,Idapanur PS,Kidnapping,2022-04-02,36
KA-25,Thilakwadi PS,Robbery,2024-09-21,36
KA-10,Miryan PS,Murder,2023-09-17,36
KA-20,Kodihalli PS,Cyber Crime,2024-12-25,36
KA-12,Kodagu Women PS,Burglary,2025-08-11,36
KA-26,Kencharlahalli PS,Burglary,2023-11-25,36
KA-03,Shankarpura PS,Burglary,2025-11-04,36
KA-14,Mayakonda PS,Drug Offence,2025-07-20,36
KA-05,Ponnampet PS,Drug Offence,2025-12-13,36
KA-09,Malpe PS,Murder,2025-06-20,36
KA-30,Kuvempunagar PS,Assault,2023-12-06,36
KA-28,Shakti Nagar PS,Cyber Crime,2023-09-05,36
KA-19,Humnabad PS,Theft,2023-02-24,35
KA-06,Kundapura PS,Drug Offence,2023-08-18,35
KA-10,Kushnoor PS,Burglary,2022-01-12,35
KA-24,Chandrashekarpura PS,Assault,2022-01-27,35
KA-11,Hokrana PS,Murder,2023-08-01,35
KA-11,High Grounds PS,Rioting,2025-05-05,35
KA-09,Bilagi PS,Fraud,2025-12-15,35
KA-12,Jayaprakash Nagar PS,Fraud,2025-11-23,35
KA-15,Bendigeri PS,Kidnapping,2023-06-27,35
KA-28,K.T.J Nagar PS,Murder,2022-03-27,35
KA-01,Bagalkot Rural PS,Kidnapping,2025-02-18,35
KA-19,Bendigeri PS,Robbery,2022-06-03,35
KA-12,Ragavendra nagar PS,Cyber Crime,2024-07-20,35
KA-20,Sadar Bazar PS,Fraud,2023-08-02,34
KA-23,City Market PS,Robbery,2025-04-20,34
KA-10,Shahapur PS,Cyber Crime,2024-12-04,34
KA-20,Alur PS,Drug Offence,2024-11-03,34
KA-24,Kampli PS,Robbery,2024-01-09,34
KA-07,Goruru PS,Theft,2023-10-13,34
KA-11,Shikaripura Rural PS,Murder,2023-08-18,34
KA-21,Kalasipalya PS,Domestic Violence,2022-01-01,34
KA-25,Alur PS,Murder,2023-03-04,34
KA-08,K.R. Pet Town PS,Robbery,2024-07-23,34
KA-12,Kapu PS,Rioting,2025-07-17,34
KA-09,Gabbur PS,Assault,2025-09-16,34
KA-11,Kembhavi PS,Fraud,2025-02-09,34
KA-18,Byappanahalli PS,Assault,2024-12-24,34
KA-12,Shankarpura PS,Theft,2023-09-19,34
KA-17,Saragur PS,Kidnapping,2025-07-27,34
KA-13,Tumakur Rural PS,Rioting,2022-10-10,34
KA-01,Bajpe PS,Kidnapping,2022-05-18,33
KA-05,Chitradurga Women PS,Rioting,2023-10-02,33
KA-20,Mayakonda PS,Drug Offence,2024-07-08,33
KA-29,Peresandra PS,Fraud,2025-01-10,33
KA-08,Tekkalkota PS,Cyber Crime,2022-03-28,33
KA-18,Gandasi PS,Burglary,2022-08-06,33
KA-17,Saragur PS,Assault,2024-12-15,33
KA-07,K.T.J Nagar PS,Fraud,2024-10-21,33
KA-01,Govindaraja Nagar PS,Theft,2024-04-24,33
KA-17,Bailhongal PS,Drug Offence,2025-01-22,33
KA-01,Jagalur PS,Rioting,2022-10-09,33
KA-29,Agumbe PS,Vehicle Theft,2022-08-04,33
KA-11,Jnanabharathi PS,Assault,2022-02-12,33
KA-06,Kamakshipalya PS,Domestic Violence,2025-04-22,33
KA-26,Tumkur CEN Crime PS,Theft,2025-01-22,33
KA-31,Chikkaballapura CEN Crime PS,Vehicle Theft,2022-06-20,33
KA-12,K.B. Cross PS,Vehicle Theft,2022-08-23,33
KA-02,City Market PS,Fraud,2022-08-18,33
KA-04,Hampi Tourism PS,Cyber Crime,2023-01-20,33
KA-22,Devara Hipparagi PS,Domestic Violence,2023-08-28,33
KA-13,Shanthapur PS,Cyber Crime,2025-10-13,33
KA-04,Tekkalkota PS,Assault,2022-07-05,33
KA-02,Cubbon Park PS,Burglary,2024-06-07,33
KA-13,Idapanur PS,Vehicle Theft,2022-09-15,33
KA-24,Bemalkhed PS,Kidnapping,2022-04-01,32
KA-21,Banavasi PS,Domestic Violence,2025-06-06,32
KA-24,Bellanduru PS,Assault,2024-07-24,32
KA-23,Jagalur PS,Rioting,2025-11-15,32
KA-24,Revoor PS,Burglary,2022-04-22,32
KA-01,Bindiganavile PS,Kidnapping,2025-06-02,32
KA-17,Chikkanayakanahalli PS,Robbery,2022-10-17,32
KA-15,Chikkaballapura CEN Crime PS,Theft,2025-06-21,32
KA-02,Kanakagiri PS,Kidnapping,2023-08-20,32
KA-14,Yeshwanthapura PS,Rioting,2025-06-12,32
KA-28,Bidar Town PS,Cyber Crime,2022-07-04,32
KA-27,Hampi Tourism PS,Fraud,2025-08-14,32
KA-16,Mahalingapur PS,Rioting,2024-06-25,32
KA-29,Nanjanagudu Town PS,Murder,2023-11-03,32
KA-17,Bagalur PS,Theft,2025-05-20,32
KA-15,Napoklu PS,Burglary,2023-03-12,32
KA-11,Raibag PS,Assault,2025-09-18,32
KA-02,Kalaburagi City CENCrime PS,Theft,2022-01-21,32
KA-08,Balur PS,Kidnapping,2023-03-13,32
KA-30,Maddur PS,Theft,2023-10-15,32
KA-15,Bidar Women PS,Burglary,2024-02-27,32
KA-19,Chitradurga Women PS,Domestic Violence,2023-03-09,32
KA-09,Bellanduru PS,Vehicle Theft,2022-03-26,32
KA-29,Hassan Women PS,Drug Offence,2024-07-20,32
KA-23,City Market PS,Domestic Violence,2025-04-20,31
KA-22,Patanayakanahalli PS,Vehicle Theft,2022-10-25,31
KA-07,Ramanagara Women PS,Robbery,2023-01-28,31
KA-05,Kutta PS,Domestic Violence,2025-11-19,31
KA-12,Yamakanmardi PS,Rioting,2025-12-26,31
KA-06,Ponnampet PS,Vehicle Theft,2022-10-23,31
KA-13,Kudur PS,Rioting,2022-06-04,31
KA-20,Banavasi PS,Robbery,2024-12-18,31
KA-16,Managoli PS,Murder,2025-06-20,31
KA-01,Thalak PS,Fraud,2022-10-05,31
KA-28,Tumakur Rural PS,Vehicle Theft,2022-08-27,31
KA-20,Besagaraghalli PS,Kidnapping,2022-08-10,31
KA-25,Manvi PS,Fraud,2023-04-07,31
KA-10,Bagalkot Women PS,Murder,2025-07-14,31
KA-18,Kamasamudram PS,Vehicle Theft,2022-06-18,31
KA-11,Udupi CEN Crime PS,Drug Offence,2024-05-06,31
KA-07,Sadar Bazar PS,Cyber Crime,2024-11-01,31
KA-21,H.S.R.Layout PS,Vehicle Theft,2023-11-23,31
KA-27,Vidyaranyarpuram PS,Murder,2022-12-17,31
KA-22,Balur PS,Kidnapping,2022-09-19,31
KA-16,Gundlupete PS,Kidnapping,2022-08-06,30
KA-29,Belagavi CEN Crime PS,Assault,2024-01-10,30
KA-30,Devara Hipparagi PS,Burglary,2024-03-10,30
KA-05,Shahabad Town PS,Burglary,2023-06-12,30
KA-10,Udupi CEN Crime PS,Robbery,2025-01-22,30
KA-23,Kempegowda Nagar PS,Theft,2024-04-23,30
KA-15,Vibanagara PS,Fraud,2025-05-28,30
KA-14,Hullahalli PS,Murder,2022-01-22,30
KA-01,Kencharlahalli PS,Assault,2024-02-15,30
KA-23,Chigateri PS,Burglary,2024-05-25,30
KA-19,Jagalur PS,Cyber Crime,2023-08-21,30
KA-17,Kodagu CEN Crime PS,Assault,2024-06-12,30
KA-07,Bidadi PS,Robbery,2024-08-26,30
KA-01,Bagalkot Rural PS,Murder,2023-06-14,30
KA-16,Vibanagara PS,Drug Offence,2025-10-26,30
KA-26,Sadar Bazar PS,Murder,2024-05-02,30
KA-21,K.R. Nagar PS,Domestic Violence,2025-02-22,30
KA-14,Vemagal PS,Robbery,2024-10-05,30
KA-30,Gokak Rural PS,Kidnapping,2024-10-03,30
KA-11,Munirabad PS,Robbery,2022-06-22,30
KA-17,Dandeli Town PS,Drug Offence,2022-03-26,29
KA-29,V.V. Puram PS,Murder,2025-10-07,29
KA-13,Bankapura PS,Assault,2022-02-27,29
KA-31,Kampli PS,Kidnapping,2024-11-18,29
KA-11,Kamakshipalya PS,Cyber Crime,2024-02-27,29
KA-30,Manvi PS,Kidnapping,2024-03-17,29
KA-20,APMC Navanagar,Assault,2024-03-10,29
KA-30,Yamakanmardi PS,Cyber Crime,2025-04-07,29
KA-21,Kadra PS,Drug Offence,2023-08-25,29
KA-18,Belagavi CEN Crime PS,Fraud,2024-07-04,29
KA-17,Turuvkere PS,Fraud,2024-10-20,29
KA-21,Bilagi PS,Kidnapping,2025-09-17,29
KA-15,Santemaralli PS,Robbery,2022-01-23,29
KA-18,Chigateri PS,Kidnapping,2024-06-26,29
KA-06,Chittapura PS,Fraud,2025-04-03,29
KA-24,Manvi PS,Murder,2024-02-21,29
KA-11,Mulbagal Rural PS,Rioting,2023-03-18,29
KA-07,Subramanya Nagar PS,Rioting,2022-12-17,29
KA-07,Vijayanagar PS,Domestic Violence,2024-02-24,29
KA-07,Gandhi Chowk PS,Drug Offence,2025-03-27,29
KA-29,Sirsi Town PS,Burglary,2024-04-22,29
KA-23,Mudalgi PS,Drug Offence,2025-10-05,29
KA-16,Mangaluru North PS,Assault,2024-08-09,29
KA-31,Kalaburagi City CENCrime PS,Theft,2025-10-04,29
KA-20,Kembhavi PS,Fraud,2025-09-28,29
KA-07,Belagavi City Women PS,Murder,2024-01-28,28
KA-26,Ranebennur Town PS,Murder,2023-08-13,28
KA-03,Kanakagiri PS,Domestic Violence,2024-09-12,28
KA-17,Sirsi Town PS,Fraud,2024-09-10,28
KA-25,Humnabad PS,Robbery,2025-05-08,28
KA-04,Jnanabharathi PS,Drug Offence,2024-06-16,28
KA-01,Commercial Street PS,Burglary,2022-05-14,28
KA-13,Ranebennur Town PS,Robbery,2022-03-04,28
KA-09,Chikkamagalur Women PS,Vehicle Theft,2023-08-26,28
KA-03,Bengaluru Dist Women PS,Domestic Violence,2022-01-04,28
KA-25,Naragund PS,Theft,2025-05-20,28
KA-03,Patapalya PS,Murder,2024-01-05,28
KA-16,Gokak Rural PS,Cyber Crime,2025-01-05,28
KA-24,Dharwad Women PS,Assault,2023-10-20,28
KA-26,Balur PS,Theft,2024-08-26,28
KA-26,Kencharlahalli PS,Assault,2025-02-07,28
KA-10,Karwar Town PS,Robbery,2023-10-28,28
KA-01,Huliyar PS,Kidnapping,2024-07-19,28
KA-18,Chowka PS,Burglary,2025-11-20,28
KA-18,H.S.R.Layout PS,Vehicle Theft,2023-05-26,28
KA-11,Jewargi PS,Assault,2022-09-14,28
KA-29,Khadakalat PS,Kidnapping,2022-06-20,28
KA-12,Anavatti PS,Kidnapping,2022-10-11,28
KA-01,Balur PS,Rioting,2025-08-06,28
KA-21,H.S.R.Layout PS,Vehicle Theft,2023-01-25,28
KA-25,Yedrami PS,Kidnapping,2025-12-07,27
KA-28,Hassan Women PS,Drug Offence,2025-05-23,27
KA-18,Turuvanur (Jogi) PS,Kidnapping,2024-11-11,27
KA-30,T.B. Dam PS,Rioting,2023-06-08,27
KA-11,Raibag PS,Drug Offence,2025-09-18,27
KA-17,Managoli PS,Assault,2024-02-07,27
KA-12,Arakere PS,Rioting,2024-07-22,27
KA-11,Badavanahalli PS,Burglary,2024-05-03,27
KA-10,Munirabad PS,Domestic Violence,2025-11-17,27
KA-29,Yelburga PS,Drug Offence,2023-08-16,27
KA-13,City Market PS,Kidnapping,2023-02-27,27
KA-13,Chittavadagi PS,Drug Offence,2023-05-13,27
KA-30,Ramnagar PS,Burglary,2024-05-17,27
KA-18,V.V. Puram PS,Vehicle Theft,2025-11-24,27
KA-05,Mandya West PS,Kidnapping,2023-07-21,27
KA-10,Chigateri PS,Vehicle Theft,2025-05-21,27
KA-09,Byatarayanapura PS,Drug Offence,2022-04-13,27
KA-12,Bankapura PS,Burglary,2023-07-15,27
KA-12,Revoor PS,Robbery,2025-09-21,27
KA-31,Kodagu Women PS,Drug Offence,2024-02-24,27
KA-31,Kadra PS,Cyber Crime,2025-01-23,27
KA-30,Yadgir Rural PS,Domestic Violence,2025-04-05,27
KA-19,Whitefield PS,Rioting,2023-04-08,26
KA-18,Mysore South PS,Vehicle Theft,2025-01-24,26
KA-17,Naragund PS,Vehicle Theft,2025-09-24,26
KA-03,Brahmavar PS,Cyber Crime,2022-10-16,26
KA-23,Dhannura PS,Theft,2024-08-09,26
KA-25,Chandra Layout PS,Fraud,2023-02-18,26
KA-23,Bantwala Town PS,Domestic Violence,2024-07-03,26
KA-11,Hadagali PS,Cyber Crime,2024-01-06,26
KA-19,Balur PS,Assault,2024-02-06,26
KA-03,Raichur Women PS,Assault,2022-06-22,26
KA-23,Devaraja PS,Assault,2022-10-14,26
KA-30,Kodagu Women PS,Drug Offence,2022-06-22,26
KA-20,Mangaluru South PS,Vehicle Theft,2025-08-15,26
KA-27,Huliyar PS,Cyber Crime,2024-08-15,26
KA-12,Nanjanagudu Town PS,Fraud,2024-01-28,26
KA-09,Kutta PS,Burglary,2023-09-27,26
KA-09,Byndoor PS,Assault,2025-10-02,26
KA-23,K.B. Cross PS,Rioting,2022-06-11,26
KA-05,Teradal PS,Murder,2025-10-12,26
KA-26,Attibele PS,Fraud,2023-11-14,26
KA-03,Gadag Women PS,Rioting,2023-01-02,26
KA-21,Nelamangala Town PS,Cyber Crime,2023-02-18,26
KA-14,Bhatkal Town PS,Vehicle Theft,2023-09-10,26
KA-03,Maddur PS,Burglary,2025-06-04,26
KA-13,Alur PS,Rioting,2025-04-10,26
KA-26,Bengaluru Dist Women PS,Burglary,2025-02-20,26
KA-05,Sampigehalli PS,Theft,2022-08-20,26
KA-21,Konanakunte PS,Vehicle Theft,2022-08-16,26
KA-14,Ranebennur Town PS,Murder,2024-11-16,26
KA-14,Tadas PS,Kidnapping,2025-04-25,26
KA-26,Mulbagal Rural PS,Burglary,2024-06-08,25
KA-15,Bidar Women PS,Fraud,2024-02-27,25
KA-05,Bilagi PS,Domestic Violence,2025-05-10,25
KA-21,Chowka PS,Robbery,2022-06-02,25
KA-03,Sampigehalli PS,Cyber Crime,2022-11-05,25
KA-05,Andersonpet PS,Murder,2025-01-08,25
KA-24,Jamakhandi Town PS,Kidnapping,2023-06-06,25
KA-06,Konanakunte PS,Fraud,2022-09-28,25
KA-03,Kadra PS,Burglary,2024-03-13,25
KA-12,Besagaraghalli PS,Rioting,2025-03-04,25
KA-24,Malur PS,Rioting,2023-02-25,25
KA-05,Siddapura PS,Burglary,2023-06-21,25
KA-04,Mysore South PS,Murder,2024-12-02,25
KA-24,East CEN Crime PS,Rioting,2023-10-18,25
KA-25,Subramanya Nagar PS,Domestic Violence,2023-10-09,25
KA-14,Chikkamagalur Women PS,Fraud,2023-03-09,25
KA-27,Bidadi PS,Burglary,2023-01-13,25
KA-05,Sampigehalli PS,Murder,2022-08-20,25
KA-12,Bankapura PS,Domestic Violence,2023-07-15,25
KA-17,Dandeli Town PS,Murder,2022-03-26,25
KA-21,Chikkaballapura CEN Crime PS,Assault,2022-05-08,25
KA-07,Tumkur CEN Crime PS,Burglary,2022-03-07,25
KA-07,Bagalkot Women PS,Kidnapping,2022-01-10,25
KA-25,Maddur PS,Rioting,2023-01-02,25
KA-25,Dharmasthala PS,Rioting,2023-08-10,25
KA-18,Chowka PS,Robbery,2022-09-10,25
KA-16,Tiptur Town PS,Vehicle Theft,2023-01-08,25
KA-11,Yelahanka PS,Cyber Crime,2025-04-05,25
KA-08,Surathkal PS,Burglary,2022-08-27,24
KA-15,Koratagere PS,Theft,2023-04-20,24
KA-28,Doddawad PS,Domestic Violence,2025-02-22,24
KA-06,Yeregera PS,Domestic Violence,2022-10-11,24
KA-06,Doddawad PS,Murder,2024-04-16,24
KA-04,Raichur Women PS,Domestic Violence,2025-03-19,24
KA-26,Balur PS,Burglary,2024-08-26,24
KA-04,Mannalli PS,Robbery,2022-10-08,24
KA-08,Brahmavar PS,Robbery,2025-05-26,24
KA-25,Yedrami PS,Vehicle Theft,2025-12-07,24
KA-10,Bajpe PS,Kidnapping,2024-03-27,24
KA-26,Vijayapura PS,Kidnapping,2025-08-16,24
KA-24,Shahapura PS,Fraud,2024-06-05,24
KA-16,Hunusur Town PS,Burglary,2025-04-13,24
KA-14,Holenarasipura Rural PS,Fraud,2025-12-07,24
KA-03,Maddur PS,Cyber Crime,2025-06-04,24
KA-23,K.R. Nagar PS,Rioting,2024-07-12,24
KA-02,Guttal PS,Domestic Violence,2022-01-07,24
KA-11,Mangaluru North PS,Rioting,2022-02-22,24
KA-16,Byappanahalli PS,Domestic Violence,2022-05-01,24
KA-04,Tiptur Town PS,Fraud,2022-03-11,24
KA-13,Betageri Extention PS,Rioting,2024-12-23,24
KA-04,Shankarpura PS,Burglary,2024-01-02,24
